,name,address
408,시지사월보성타운2차 전기차충전소,대구 수성구 욱수천로 133
409,기아오토큐 남대구종합서비스 전기차충전소,대구 달서구 성서공단로54길 8
410,대영채비 주차장 전기차충전소,대구 달성군 유가읍 테크노순환로7길 25 본사
411,대구유통단지 전기재료관 전기차충전소,대구 북구 유통단지로 38
412,교동면옥다사점 전기차충전소,대구 달성군 다사읍 달구벌대로 858
413,두류공원 테니스장 전기차충전소,대구 달서구 두류동 597-3 지상주차장 테니스장 맞은편 안쪽
414,칠곡부영6단지 전기차충전소,대구 북구 구암로49길 24 지하1층 주차장
415,대구광역시 상수도사업본부 수질연구소 전기차충전소,대구 달서구 감삼동 663
416,기아오토큐 수성종합서비스 전기차충전소,대구 수성구 신천동로 25 검사소쪽 출입구 좌측
417,수성소방서 전기차충전소,대구 수성구 범물동 1259
418,동림플라자 전기차충전소,대구 북구 한강로8길 20
419,르노삼성자동차 대구사업소 전기차충전소,대구 서구 와룡로 392
420,한국도로공사 유천IC 전기차충전소,대구 달성군 화원읍 구라리 1118-8
421,대구종합유통단지 전기조명관사업협동조합 전기차충전소,대구 북구 유통단지로 50
422,옥포미진이지비아 전기차충전소,대구 달성군 옥포읍 비슬로447길 56 지하주차장
423,시지사월보성타운2차 전기차충전소,대구 수성구 욱수천로 133
424,기아오토큐 남대구종합서비스 전기차충전소,대구 달서구 성서공단로54길 8
425,대영채비 주차장 전기차충전소,대구 달성군 유가읍 테크노순환로7길 25 본사
426,대구유통단지 전기재료관 전기차충전소,대구 북구 유통단지로 38
427,교동면옥다사점 전기차충전소,대구 달성군 다사읍 달구벌대로 858
428,두류공원 테니스장 전기차충전소,대구 달서구 두류동 597-3 지상주차장 테니스장 맞은편 안쪽
429,칠곡부영6단지 전기차충전소,대구 북구 구암로49길 24 지하1층 주차장
430,대구광역시 상수도사업본부 수질연구소 전기차충전소,대구 달서구 감삼동 663
431,기아오토큐 수성종합서비스 전기차충전소,대구 수성구 신천동로 25 검사소쪽 출입구 좌측
432,수성소방서 전기차충전소,대구 수성구 범물동 1259
433,동림플라자 전기차충전소,대구 북구 한강로8길 20
434,르노삼성자동차 대구사업소 전기차충전소,대구 서구 와룡로 392
435,우방신천지타운 전기차충전소,대구 수성구 청호로46길 16
436,중부소방서 전기차충전소,대구 중구 달구벌대로 1926 주차장
437,아우디 대구 서비스센터 전기차충전소,대구 서구 서대구로63길 5
438,대구수목원 제3주차장 전기차충전소,대구 달서구 대곡동 1041 우측
439,대구복합스포츠타운시민체육관 전기차충전소,대구 북구 고성로 191
440,SK텔레콤 대구태평사옥 전기차충전소,대구 서구 원대로 73 지하주차장 좌측벽면
441,두류공원 초급속 EV충전소 전기차충전소,대구 달서구 두류동 597-6 광장휴게소 뒤쪽 주차장
442,고향차밭골식당 전기차충전소,대구 동구 파계로138길 12
443,대구 파티마병원 동관 입구 주차장 전기차충전소,대구 동구 아양로 99
444,갓바위공영2주차장 전기차충전소,대구 동구 갓바위로 227
445,경북대학교병원(본원) 전기차충전소,대구 중구 동덕로 130
446,진천역대우이안아파트 전기차충전소,대구 달서구 진천로18길 10
447,만평네거리 북편 공영주차장 전기차충전소,대구 북구 노원동3가 252-3
448,대구미술관 외환들 주차장 전기차충전소,대구 수성구 삼덕동 360-4 우측
449,강서소방서 전기차충전소,대구 달성군 다사읍 죽곡리 817 주차장
450,우방신천지타운 전기차충전소,대구 수성구 청호로46길 16
451,중부소방서 전기차충전소,대구 중구 달구벌대로 1926 주차장
452,아우디 대구 서비스센터 전기차충전소,대구 서구 서대구로63길 5
453,대구수목원 제3주차장 전기차충전소,대구 달서구 대곡동 1041 우측
454,대구복합스포츠타운시민체육관 전기차충전소,대구 북구 고성로 191
455,SK텔레콤 대구태평사옥 전기차충전소,대구 서구 원대로 73 지하주차장 좌측벽면
456,두류공원 초급속 EV충전소 전기차충전소,대구 달서구 두류동 597-6 광장휴게소 뒤쪽 주차장
457,고향차밭골식당 전기차충전소,대구 동구 파계로138길 12
458,대구 파티마병원 동관 입구 주차장 전기차충전소,대구 동구 아양로 99
459,갓바위공영2주차장 전기차충전소,대구 동구 갓바위로 227
460,경북대학교병원(본원) 전기차충전소,대구 중구 동덕로 130
461,진천역대우이안아파트 전기차충전소,대구 달서구 진천로18길 10
462,만평네거리 북편 공영주차장 전기차충전소,대구 북구 노원동3가 252-3
463,대구미술관 외환들 주차장 전기차충전소,대구 수성구 삼덕동 360-4 우측
464,강서소방서 전기차충전소,대구 달성군 다사읍 죽곡리 817 주차장
465,홍천뚝배기 전기차충전소,대구 서구 달구벌대로329길 133 옥외주차장
466,테슬론 테슬라전용 전기차충전소,대구 동구 매여로 94
467,삼익THK 테크노폴리스공장옥상 전기차충전소,대구 달성군 유가읍 테크노순환로1길 13-29
468,대구축협 축산물프라자 전기차충전소,대구 동구 용계동 444-2 지상주차장
469,대구시 달서구 일신테크노밸리지식산업센터 전기차충전소,대구 달서구 달서대로 555
470,상인화성파크드림2단지 전기차충전소,"대구 달서구 송현로7길 9 지하2층주차장 2101동 앞, 26번"
471,서부소방서 전기차충전소,대구 서구 평리동 70-1 주차장
472,지산근린공원 주차장 전기차충전소,대구 수성구 지산동 1274 지하 출구측
473,시지태왕리더스6차아파트 전기차충전소,대구 수성구 달구벌대로669길 70
474,대구 이월드 전기차충전소,대구 달서구 두류공원로 200
475,대구 중흥S클래스포디움 전기차충전소,대구 달성군 유가읍 테크노순환로 423
476,대구서부오토스퀘어 전기차충전소,대구 달서구 감삼동 69
477,대구스타디움 주차장 전기차충전소,대구 수성구 노변동 650
478,대구시 북구 삐에로모텔 전기차충전소,대구 북구 대현로 32
479,대구보건대학교 입구주차장 전기차충전소,대구 북구 영송로 15
480,홍천뚝배기 전기차충전소,대구 서구 달구벌대로329길 133 옥외주차장
481,테슬론 테슬라전용 전기차충전소,대구 동구 매여로 94
482,삼익THK 테크노폴리스공장옥상 전기차충전소,대구 달성군 유가읍 테크노순환로1길 13-29
483,대구축협 축산물프라자 전기차충전소,대구 동구 용계동 444-2 지상주차장
484,대구시 달서구 일신테크노밸리지식산업센터 전기차충전소,대구 달서구 달서대로 555
485,상인화성파크드림2단지 전기차충전소,"대구 달서구 송현로7길 9 지하2층주차장 2101동 앞, 26번"
486,서부소방서 전기차충전소,대구 서구 평리동 70-1 주차장
487,지산근린공원 주차장 전기차충전소,대구 수성구 지산동 1274 지하 출구측
488,시지태왕리더스6차아파트 전기차충전소,대구 수성구 달구벌대로669길 70
489,대구 이월드 전기차충전소,대구 달서구 두류공원로 200
490,대구 중흥S클래스포디움 전기차충전소,대구 달성군 유가읍 테크노순환로 423
491,대구서부오토스퀘어 전기차충전소,대구 달서구 감삼동 69
492,대구스타디움 주차장 전기차충전소,대구 수성구 노변동 650
493,대구시 북구 삐에로모텔 전기차충전소,대구 북구 대현로 32
494,대구보건대학교 입구주차장 전기차충전소,대구 북구 영송로 15
495,Tesla 대구 이시아폴리스 수퍼차저,대구 동구 봉무동 1544
496,Tesla 대구 수성 수퍼차저,대구 수성구 수성못6길 18 대구수성아트스퀘어
497,수태골 공영주차장 전기차충전소,대구 동구 용수동 907-1
498,대구신서혁신LH천년나무10단지 전기차충전소,대구 동구 메디밸리로 18
499,파계사 공영주차장 전기차충전소,대구 동구 파계로 686
500,Tesla 대구 수퍼차저,대구 북구 엑스코로 10
501,대덕맨션2차 전기차충전소,대구 남구 앞산순환로 655
502,동화사(동화사 집단시설지구 씨네80 극장 출구 주차장) 전기차충전소,대구 동구 팔공산로 1184
503,코스트코 대구혁신도시점 전기차충전소,대구 동구 첨단로 10
504,연경지구LH뉴웰시티아파트 전기차충전소,대구 동구 지묘동 1352-2
505,관음동한양수정아파트 전기차충전소,대구 북구 구암로 17
506,시지두레타운 입주자대표회의 전기차충전소,대구 수성구 천을로 131
507,현풍백년도깨비시장 공영주차장 전기차충전소,대구 달성군 현풍읍 현풍로6길 5
508,3호선 칠곡차량기지 전기차충전소,대구 북구 동호동 136-1
509,서대구역남측주차장 전기차충전소,대구 서구 와룡로 527
